slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
rouge-trafalgar,Rouge Trafalgar,https://www.etirsah.com/storage/photos/shares/etirler_yeni/DIOR---ROUGE-TRAFALGAR-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,C.Dior,"albalı, moruq, naringi-mandarin, çiyələk","qreyfrut, qara-qarağat","müşk, paçuli",https://www.etirsah.com/az/product/1873,Stokda Var
flower-by-kenzo-labsolue,Flower by Kenzo L'Absolue,https://www.etirsah.com/storage/photos/shares/etirler_yeni/KENZO---FLOWER-BY-KENZO-L%27ABSOLUE-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,Kenzo,zəfəran,"portağal-çiçəyi, damask-qızılgülü","ağ-müşk, vanil",https://www.etirsah.com/az/product/1874,Stokda Var
gris-charnel,Gris Charnel,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BDK---GRIS-CHARNEL-FOR-UNISEX.jpg,,Unisex,38.00,70.00,112.00,BDK Parfums,"qara-çay, hil, əncir","süsən, vetivera","səndəl, tonka-lobyası",https://www.etirsah.com/az/product/1875,Stokda Var
valaya,Valaya,https://www.etirsah.com/storage/photos/shares/etirler_yeni/PARFUMS-DE-MARLY---VALAYA-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,Parfums de Marly,"aldehidlər, berqamot, naringi-mandarin, ağ-şaftalı","portağal-çiçəyi, vetivera, inciçiçəyi, petaliya-pion-və-qızılgül-qoxulu-maddə, mahoniya, nympheal","ambroksan, müşk, vanil, akigalawood",https://www.etirsah.com/az/product/1876,Stokda Var
crystal-saffron,Crystal Saffron,https://www.etirsah.com/storage/photos/shares/etirler_yeni/MATIERE-PREMIERE---CRYSTAL-SAFFRON-FOR-UNISEX.jpg,,Unisex,44.00,82.00,132.00,Matiere Premiere,müşk,zəfəran,"ambroksan, büxur-ladan",https://www.etirsah.com/az/product/1877,Stokda Var
fantasia-fendi,Fantasia Fendi,https://www.etirsah.com/storage/photos/shares/etirler_yeni/FENDI---FANTASIA-FENDI-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Fendi,"aldehidlər, berqamot, ərik, sünbülçiçək","jasmin, orxideya, qızılgül, inciçiçəyi","palıd-mamırı, səndəl, tonka-lobyası, vanil",https://www.etirsah.com/az/product/1878,Stokda Var
xoxo,Xoxo,https://www.etirsah.com/storage/photos/shares/etirler_yeni/FIVE-STARS---XOXO-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Five Stars,"ərik, marakuyya","berqamot, vanil","müşk, səndəl",https://www.etirsah.com/az/product/1879,Stokda Var
grapefruit,Grapefruit,https://www.etirsah.com/storage/photos/shares/etirler_yeni/JO-MALONE---GRAPEFRUIT-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Jo Malone,"qreyfrut, tanqerin","jasmin, nanə, rozmarin, paprika","paçuli, palıd-mamırı, vetivera",https://www.etirsah.com/az/product/1880,Stokda Var
sandaliyah,Sandaliyah,https://www.etirsah.com/storage/photos/shares/etirler_yeni/FA%C4%B0ZA.jpg,,Unisex,20.00,34.00,52.00,Faiza,"ilanq-ilanq, gurjun-balzamı","sidr, səndəl","müşk, ənbər",https://www.etirsah.com/az/product/1882,Stokda Var
amen,A*Men,https://www.etirsah.com/storage/photos/shares/etirler_yeni/AMen-Mugler.jpg,,Kişi,14.00,22.00,32.00,Thierry Mugler,"berqamot, lavanda, meyvə-notları, nanə, yaşıl-notlar, keşniş-toxumu","bal, jasmin, karamel, paçuli, sidr, süd, inciçiçəyi","benzoin, müşk, paçuli, qəhvə, səndəl, tonka-lobyası, vanil, ənbər",https://www.etirsah.com/az/product/1883,Stokda Var
rose-damalfi,Rose D'Amalfi,https://www.etirsah.com/storage/photos/shares/etirler_yeni/TOM-FORD---ROSE-D%27AMALFI-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Tom Ford,"berqamot, çəhrayı-istiot, naringi-mandarin",qızılgül,"badam, geliotrop",https://www.etirsah.com/az/product/1884,Stokda Var
aqua-allegoria-harvest-rosa-rossa,Aqua Allegoria Harvest Rosa Rossa,https://www.etirsah.com/storage/photos/shares/etirler_yeni/Rosa-Rossa-Harvest-Guerlain.jpg,,Unisex,26.00,46.00,72.00,Guerlain,"bolqar-qızılgülü, türk-qızılgülü",liçi,"qara-qarağat, qızılgül-suyu",https://www.etirsah.com/az/product/1885,Stokda Var
bois-imprial,Bois Impérial,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ESSENTIAL-PARFUMS---BOIS-IMPERIAL-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Essential Parfums,"ağac-notları, timur-timut-istiotu","reyhan, vetivera","ambroksan, paçuli, akigalawood",https://www.etirsah.com/az/product/1886,Stokda Var
ail-seti,Ailə seti,https://www.etirsah.com/storage/photos/shares/etirler_yeni/qadinlar-ucun-set.jpg,,Qadın,,,,Etirshah Parfum,"armud, çəhrayı-istiot, freziya, moruq, naringi-mandarin, qreyfrut, süsən, yasəmən, yuzu",,,https://www.etirsah.com/az/product/1889,Stokda Yoxdur
ail-seti,Ailə seti,https://www.etirsah.com/storage/photos/shares/etirler_yeni/aile-seti-yeni-kisiler.jpg,,Kişi,,,,Etirshah Parfum,"berqamot, hil, laym, nanə, qızılgül, yovşan-artemisia, zəfəran, dəniz-notları, lemonqras",,,https://www.etirsah.com/az/product/1890,Stokda Var
captain-black,Captain Black,https://www.etirsah.com/storage/photos/shares/etirler_yeni/CAPTAIN-BLACK-FOR-MEN.jpg,,Kişi,14.00,22.00,32.00,Captain Black,vanil,vanil,vanil,https://www.etirsah.com/az/product/1891,Stokda Var
orange-bitters-cologne,Orange Bitters Cologne,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Orange-Bitters-Cologne.jpg,,Unisex,20.00,34.00,52.00,Jo Malone,"naringi-mandarin, portağal","acı-portağal, qara-gavalı","səndəl, ənbər",https://www.etirsah.com/az/product/1892,Stokda Var
replica-under-the-lemon-tree,Replica Under The Lemon Tree,https://www.etirsah.com/storage/photos/shares/etirler_yeni/MAISON-MARTIN-MARGIELA---UNDER-THE-LEMON-TREE-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Maison Martin Margiela,"hil, laym, petitgreyn-sitrus-yarpağı","yaşıl-çay, mate, keşniş-toxumu","ağ-müşk, qızılgül, sidr",https://www.etirsah.com/az/product/1893,Stokda Var
y-intense,Y Intense,https://www.etirsah.com/storage/photos/shares/etirler_yeni/YSL---Y-INTENSE-FOR-MEN.jpg,,Kişi,26.00,46.00,72.00,YSL,"berqamot, zəncəfil, ardıc-giləmeyvəsi","lavanda, müşk-sürvəsi-adaçayı, ətirşah","paçuli, sidr, vetivera",https://www.etirsah.com/az/product/1894,Stokda Var
pacific-chill,Pacific Chill,https://www.etirsah.com/storage/photos/shares/etirler_yeni/LOUIS-VUITTON---PACIFIC-CHILL-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Louis Vuitton,"limon, nanə, portağal, qara-qarağat, sitron, keşniş-toxumu","reyhan, ərik, may-qızılgülü, yerkökü-toxumları","xurma, əncir, ambretta-müşk-əməköməcisi",https://www.etirsah.com/az/product/1895,Stokda Var
cuir-nilam,Cuir Nilam,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ATELIER-MATERI---CUIR-NILAM-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Atelier Materi,"bənövşə-yarpağı, hil","dəri, qızılgül","paçuli, tütün",https://www.etirsah.com/az/product/1896,Stokda Var
dioriviera,Dioriviera,https://www.etirsah.com/storage/photos/shares/etirler_yeni/C.DIOR---DIORIVIERA-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,C.Dior,əncir,yaşıl-notlar,qızılgül,https://www.etirsah.com/az/product/1897,Stokda Var
gentleman-society,Gentleman Society,https://www.etirsah.com/storage/photos/shares/etirler_yeni/GIVENCHY---GENTLEMAN-SOCIETY-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Givenchy,"hil, müşk-sürvəsi-adaçayı","nərgiz, vetivera","sidr, vanil, palo-santo",https://www.etirsah.com/az/product/1898,Stokda Var
faris,Faris,https://www.etirsah.com/storage/photos/shares/etirler_yeni/KAJAL---FARIS-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Kajal,"alma, berqamot, lavanda, limon, portağal, ardıc-giləmeyvəsi","hind-qozu, jasmin, mixək, qızılgül, keşniş-toxumu","paçuli, səndəl, tonka-lobyası, vetivera, ənbər",https://www.etirsah.com/az/product/1899,Stokda Var
olympa-flora,Olympéa Flora,https://www.etirsah.com/storage/photos/shares/etirler_yeni/PACO-RABANNE---OLYMPEA-FLORA-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Paco Rabanne,"çəhrayı-istiot, qara-qarağat, sorbet-dondurma","pion, qızılgül","duz, paçuli, vanil, kaşmir-ağacı",https://www.etirsah.com/az/product/1900,Stokda Var
dead-dinosaur,Dead Dinosaur,https://www.etirsah.com/storage/photos/shares/etirler_yeni/SNIF---DEAD-DINOSAUR-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Snif,"benzoin, çəhrayı-istiot, maqnoliya","zəncəfil, peru-balzamı, davana","sidr, süsən-kökü, ənbər",https://www.etirsah.com/az/product/1901,Stokda Var
the-golden-secret,The Golden Secret,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ANTONIO-BANDERAS---THE-GOLDEN-SECRET-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Antonio Banderas,"alma, nanə, yaşıl-notlar","hind-qozu, istiot, zirə","dəri, müşk, sidr",https://www.etirsah.com/az/product/1902,Stokda Var
gucci-rush-2,Gucci Rush 2,https://www.etirsah.com/storage/photos/shares/etirler_yeni/GUCCI---GUCCI-RUSH-2-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Gucci,"freziya, qızılgül, inciçiçəyi","nərgiz, qardeniya, zanbaq, palma-yarpağı","müşk, palıd-mamırı, qara-qarağat",https://www.etirsah.com/az/product/1903,Stokda Var
where-my-heart-beats,Where My Heart Beats,https://www.etirsah.com/storage/photos/shares/etirler_yeni/GUCCI---WHERE-MY-HERAT-BEATS-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Gucci,bənövşə-yarpağı,pion,ağ-müşk,https://www.etirsah.com/az/product/1904,Stokda Var
khamrah,Khamrah,https://www.etirsah.com/storage/photos/shares/etirler_yeni/LATTAFA---KHAMRAH-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Lattafa,"berqamot, darçın, hind-qozu","tuberoza, xurma, praline","benzoin, tonka-lobyası, vanil, mirra, akigalawood, ənbər-ağacı",https://www.etirsah.com/az/product/1905,Stokda Var
among-the-clouds,Among The Clouds,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BATH-AND-BODY-WORKS---AMONG-THE-CLOUDS-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Bath & Body Works,yabanı-giləmeyvələr,qaymaq,vanil,https://www.etirsah.com/az/product/1906,Stokda Var
isola-blu,Isola Blu,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ROJA---ISOLA-BLU-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Roja,"berqamot, kəklikotu, lavanda, laym, limon","alma, jasmin, kokos, portağal-çiçəyi, zanbaq, qara-qarağat, çampaka","çəhrayı-istiot, dəri, labdanum, müşk, ot, paçuli, palıd-mamırı, sidr, süsən-kökü",https://www.etirsah.com/az/product/1907,Stokda Var
lineage,Lineage,https://www.etirsah.com/storage/photos/shares/etirler_yeni/AMOUAGE---LINEAGE-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Amouage,"zəfəran, zəncəfil, siçuan-çin-istiotu, peruvian-istiotu","mirra, olibanum, samanlıq-güldəfnəsi","benzoin, labdanum, paçuli, vetivera, mirra, olibanum",https://www.etirsah.com/az/product/1908,Stokda Var
le-male-elixir,Le Male Elixir,https://www.etirsah.com/storage/photos/shares/etirler_yeni/JEAN-PAUL-GAULTIER---LE-MALE-ELIXIR-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Jean Paul Gaultier,"lavanda, nanə","benzoin, vanil","bal, tonka-lobyası, tütün",https://www.etirsah.com/az/product/1909,Stokda Var
armani-code-edt,Armani Code EDT,https://www.etirsah.com/storage/photos/shares/etirler_yeni/G.ARMANI---ARMANI-CODE-EDT-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Giorgio Armani,yaşıl-mandarin,lavanda,"sidr, tonka-lobyası",https://www.etirsah.com/az/product/1910,Stokda Var
iris-malikhn,Iris Malikhân,https://www.etirsah.com/storage/photos/shares/etirler_yeni/MAISON-CRIVELLI---IRIS-MALIKHAN-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Maison Crivelli,"çəhrayı-istiot, darçın, qara-qarağat","mimoza, mastika, sərv, keşniş-toxumu","süsən-kökü, vanil, ənbər, qalbanum",https://www.etirsah.com/az/product/1911,Stokda Var
yum-pistachio-gelato-33,Yum Pistachio Gelato | 33,https://www.etirsah.com/storage/photos/shares/etirler_yeni/KAYALI---YUM-PISTACHIO-GELATO--33-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Kayali,"berqamot, dondurma, hil, rom, fındıq, püstə","armud, jasmin, moruq, pion, ətirşah, inciçiçəyi, ağ-şaftalı","qaymaq, sidr, səndəl, tonka-lobyası, şirin-pambıq, kakao, beze, lokum",https://www.etirsah.com/az/product/1912,Stokda Var
bvlgari-man-rain-essence,Bvlgari Man Rain Essence,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BVLGARI---BVLGARI-MAN-RAIN-ESSENCE-FOR-WOMEN.jpg,,Kişi,32.00,58.00,92.00,Bvlgari,"portağal, yaşıl-çay","müşk, lotus","ənbər, quayak-ağacı",https://www.etirsah.com/az/product/1913,Stokda Var
wild-sand-body-mist,Wild Sand Body Mist,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BATH-AND-BODY-WORKS---WLID-SAND-BODY-MIST-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Bath & Body Works,aqava-nektarı,kaktus-çiçəyi,hindistan-ənciri-opuntia,https://www.etirsah.com/az/product/1914,Stokda Var
vanilla-royale-sugared-patchouli-64,Vanilla Royale Sugared Patchouli | 64,https://www.etirsah.com/storage/photos/shares/etirler_yeni/KAYALI---ROYALE-SUGARED-PATCHOULI-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Kayali,"jasmin, rom, vanil-orxideyasi","dəri, qızılgül, tonka-lobyası, vanil, ədviyyatlar, krem-brule","müşk, paçuli, ənbər, aqar-ağacı-ud, şəkər-qamışı, qəhvəyi-şəkər",https://www.etirsah.com/az/product/1915,Stokda Var
spettacolore,Spettacolore,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BVLGARI---SPETTACOLORE-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,Bvlgari,süsən,mirra,ənbər,https://www.etirsah.com/az/product/1916,Stokda Var
twilly-dherms-eau-poivre,Twilly d'Hermès Eau Poivrée,https://www.etirsah.com/storage/photos/shares/etirler_yeni/HERMES---TWILLY-d%27HERMES-EAU-POIVREE-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Hermès,çəhrayı-istiot,qızılgül,paçuli,https://www.etirsah.com/az/product/1917,Stokda Var
fearless-and-fabulous,Fearless and Fabulous,https://www.etirsah.com/storage/photos/shares/etirler_yeni/C.HERRERA---FEARLESS-FABULOUS-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,C.Herrera,"armud, çəhrayı-istiot",qardeniya,"paçuli, kaşmir-ağacı",https://www.etirsah.com/az/product/1918,Stokda Var
emporio-armani-stronger-with-you-amber,Emporio Armani Stronger With You Amber,https://www.etirsah.com/storage/photos/shares/etirler_yeni/G.ARMANI---E.ARMANI-STRONGER-AMBER-WITH-YOU-FOR-MEN.jpg,,Unisex,20.00,34.00,52.00,Giorgio Armani,ənbər,madaqaskar-vanili,lavanda,https://www.etirsah.com/az/product/1919,Stokda Var
call-me-darling,Call Me Darling,https://www.etirsah.com/storage/photos/shares/etirler_yeni/C.HERRERA---CALL-ME-DARLING-FOR-WOMEN.jpg,,Qadın,,,,C.Herrera,albalılı-süd,portağal-çiçəyi,tonka-lobyası,https://www.etirsah.com/az/product/1920,Stokda Yoxdur
dolce-violet,Dolce Violet,https://www.etirsah.com/storage/photos/shares/etirler_yeni/D%26G---DOLCE-VIOLET-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Dolce&Gabbana,"naringi-mandarin, qara-qarağat-yarpağı, siklamen","armud, bənövşə, qara-qarağat","müşk, səndəl, madaqaskar-vanili",https://www.etirsah.com/az/product/1921,Stokda Var
ti-amo,Ti Amo,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ROJA---TI-AMO-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Roja,"berqamot, naringi-mandarin","ananas, ilanq-ilanq, jasmin, neroli, portağal-çiçəyi, qızılgül, geliotrop, inciçiçəyi","çəhrayı-istiot, darçın, labdanum, paçuli, süsən-kökü, səndəl, tonka-lobyası, vanil, vetivera",https://www.etirsah.com/az/product/1922,Stokda Var
for-her-forever,For Her Forever,https://www.etirsah.com/storage/photos/shares/etirler_yeni/NARCISO-RODRIGUEZ---FOR-HER-FOREVER.jpg,,Qadın,26.00,46.00,72.00,Narcıso Rodrıguez,"jasmin, qardeniya, frangipani","osmantus, portağal-çiçəyi, tuberoza","müşk, paçuli",https://www.etirsah.com/az/product/1923,Stokda Var
violet,Violet,https://www.etirsah.com/storage/photos/shares/etirler_yeni/MARC-JACOBS---VIOLET-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Marc Jacobs,"berqamot, yaşıl-alma, kinkan","bənövşə, jasmin, maqnoliya, zanbaq","müşk, paçuli, vanil",https://www.etirsah.com/az/product/1924,Stokda Var
i-want-choo-forever,I Want Choo Forever,https://www.etirsah.com/storage/photos/shares/etirler_yeni/JIMMY-CHOO---I-WANT-CHOO-FOREVER-FOR-WOMEN.jpg,,Kişi,20.00,34.00,52.00,Jimmy Choo,"badam, qızılgül","albalı, jasmin, vetivera","palıd-mamırı, tonka-lobyası, vanil, ənbər",https://www.etirsah.com/az/product/1925,Stokda Var
aqua-media-cologne-forte,Aqua Media Cologne Forte,https://www.etirsah.com/storage/photos/shares/etirler_yeni/MFK---AQUA-MEDIA-COLOGNE-FORTE-FOR%C2%A0UNISEX.jpg,,Unisex,26.00,46.00,72.00,MFK,"berqamot, limon-minaçiçəyi-verbenası","hedion, razyana","ağac-notları, müşk, matcha-çayı",https://www.etirsah.com/az/product/1926,Stokda Var
shaikhah,Shaikhah,https://www.etirsah.com/storage/photos/shares/etirler_yeni/Shaikhah-Al-Rehab.jpg,,Unisex,,,,Al Rehab,"hil, zəfəran, aqar-ağacı-ud","jasmin, qızılgül, qərənfil","ağ-müşk, boz-ənbər, qətranlar",https://www.etirsah.com/az/product/1927,Stokda Yoxdur
absolu-aventus,Absolu Aventus,https://www.etirsah.com/storage/photos/shares/etirler_yeni/CREED---ABSOLU-AVENTUS-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,Creed,"ananas, berqamot, çəhrayı-istiot, hind-qozu, mixək, qreyfrut, qara-qarağat","darçın, hil, qızılgül, zəncəfil, sitron","ambroksan, müşk, paçuli, palıd-mamırı, səndəl, tonka-lobyası, vetivera, evernyl",https://www.etirsah.com/az/product/1930,Stokda Var
al-hajjar-al-aswad,Al Hajjar Al Aswad,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ABDUL-SAMAD-AL-QURASHI---AL-HAJAR-AL-ASWAD-%28THE-BLACK%29-FOR-MEN.jpg,,Kişi,,,,Abdul Samad Al Qurashı,"süsən, yemişan","səndəl, üzüm","aqar-ağacı-ud, palma-yarpağı",https://www.etirsah.com/az/product/1931,Stokda Yoxdur
dj-vu-white-flower-57,Déjà Vu White Flower 57,https://www.etirsah.com/storage/photos/shares/etirler_yeni/KAYALI---DEJA-VU-WHITE-FLOWER-57-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Kayali,"armud, nektarin, qardeniya","jasmin, portağal-çiçəyi, tuberoza","paçuli, səndəl, vanil, kaşmir-ağacı",https://www.etirsah.com/az/product/1932,Stokda Var
flora-gorgeous-magnolia,Flora Gorgeous Magnolia,https://www.etirsah.com/storage/photos/shares/etirler_yeni/GUCCI---FLORA-GORGEOUS-MAGNOLIA-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Gucci,"böyürtkən, kokos","maqnoliya, müşk-sürvəsi-adaçayı, ərəb-jasmini","müşk, paçuli, ağ-ağac",https://www.etirsah.com/az/product/1933,Stokda Var
invite-only-amber-23,Invite Only Amber | 23,https://www.etirsah.com/storage/photos/shares/etirler_yeni/KAYALI---INVITE-ONLY-AMBER--23-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Kayali,"albalı, bal, tütün, fındıq, şokolad","darçın, damask-qızılgülü, petitgreyn-sitrus-yarpağı, may-qızılgülü","benzoin, müşk, paçuli, səndəl, vanil, ənbər, naqarmota-girdə-topalaq, aqar-ağacı-ud",https://www.etirsah.com/az/product/1934,Stokda Var
h01,H01,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ESCENTRIC-MOLECULES---H01-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Escentric Molecules,"berqamot, laym, naringi-mandarin, portağal-çiçəyi","freziya, şaftalı, gavalı, davana","iso-e-super, müşk, paçuli, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/1935,Stokda Var
myrrhe-mystre,Myrrhe Mystère,https://www.etirsah.com/storage/photos/shares/etirler_yeni/TOM-FORD---MYRRHE-MYSTRE-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Tom Ford,"səndəl, mirra","jasmin, müşk, vanil","absent, dəri",https://www.etirsah.com/az/product/1936,Stokda Var
all-of-me,All Of Me,https://www.etirsah.com/storage/photos/shares/etirler_yeni/NARCISO-RODRIGUEZ---ALL-OF-ME-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Narcıso Rodrıguez,maqnoliya,"qızılgül, ətirşah","müşk, səndəl",https://www.etirsah.com/az/product/1937,Stokda Var
prada-paradoxe-intense,Prada Paradoxe Intense,https://www.etirsah.com/storage/photos/shares/etirler_yeni/PRADA---PRADA-PARADOXE-INTENSE-FOR-WOMEN.jpg,,Qadın,,,,Prada,"armud, berqamot, neroli","jasmin, neroli, mamır","vanil, ənbər, burbon-vanili, ambrofix, serenolide",https://www.etirsah.com/az/product/1938,Stokda Yoxdur
valentino-uomo-born-in-roma-intense,Valentino Uomo Born In Roma Intense,https://www.etirsah.com/storage/photos/shares/etirler_yeni/VALENTINO---VALENTINO-UOMO-BORN-IN-ROMA-INTENSE-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Valentino,vanil,lavanda,vetivera,https://www.etirsah.com/az/product/1939,Stokda Var
rouge-chaotique,Rouge Chaotique,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BYREDO---ROUGE-CHAOTIQUE-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Byredo,"berqamot, limon, qara-qarağat-yarpağı, zəfəran","palıd, praline, gavalı","paçuli, papirus, aqar-ağacı-ud",https://www.etirsah.com/az/product/1941,Stokda Var
wild-sand,Wild Sand,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BATH-AND-BODY-WORKS---WILD-SAND-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Bath & Body Works,aqava-nektarı,kaktus-çiçəyi,hindistan-ənciri-opuntia,https://www.etirsah.com/az/product/1942,Stokda Var
hanuman,Hanuman,https://www.etirsah.com/storage/photos/shares/etirler_yeni/BOADICEA-THE-VICTORIOUS---HANUMAN-FOR-UNISEX.jpg,,Unisex,,,,Boadicea the Victorious,"berqamot, limon, portağal-çiçəyi, qara-qarağat","maqnoliya, neroli, osmantus, siklamen","müşk, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/1943,Stokda Yoxdur
myslf,MYSLF,https://www.etirsah.com/storage/photos/shares/etirler_yeni/YSL---MYSLF-FOR-MEN.jpg,,Kişi,26.00,46.00,72.00,YSL,"berqamot, calabrian-berqamotu",portağal-çiçəyi,"paçuli, ambrofix",https://www.etirsah.com/az/product/1944,Stokda Var
avocado,Avocado,https://www.etirsah.com/storage/photos/shares/inqrediyent/avocado.jpg,,,,,,,avokado,avokado,avokado,https://www.etirsah.com/az/product/1945,Stokda Var
chocolate,Chocolate,https://www.etirsah.com/storage/photos/shares/inqrediyent/CHOCOLATE.jpg,,,,,,,şokolad,şokolad,şokolad,https://www.etirsah.com/az/product/1946,Stokda Var
classic-oud,Classic Oud,https://www.etirsah.com/storage/photos/shares/inqrediyent/CLASSIC-OUD.jpg,,,,,,,aqar-ağacı-ud,aqar-ağacı-ud,aqar-ağacı-ud,https://www.etirsah.com/az/product/1947,Stokda Var
dehn-al-oud,Dehn Al Oud,https://www.etirsah.com/storage/photos/shares/inqrediyent/Dehn-Al-Oud.jpg,,,,,,,aqar-ağacı-ud,aqar-ağacı-ud,aqar-ağacı-ud,https://www.etirsah.com/az/product/1948,Stokda Var
fig-oud,Fig Oud,https://www.etirsah.com/storage/photos/shares/inqrediyent/Fig-Oud1.jpg,,,,,,,aqar-ağacı-ud,aqar-ağacı-ud,aqar-ağacı-ud,https://www.etirsah.com/az/product/1949,Stokda Var
green-tea,Green tea,https://www.etirsah.com/storage/photos/shares/inqrediyent/green-tea.jpg,,,,,,,yaşıl-çay,yaşıl-çay,yaşıl-çay,https://www.etirsah.com/az/product/1950,Stokda Yoxdur
green-tea-cherry-blossom,Green Tea Cherry Blossom,https://www.etirsah.com/storage/photos/shares/inqrediyent/GREEN-TEA-CHERRY-BLOSSOM.jpg,,,,,,,yaşıl-çay,albalı-çiçəyi,yaşıl-çay,https://www.etirsah.com/az/product/1951,Stokda Yoxdur
lemon,Lemon,https://www.etirsah.com/storage/photos/shares/inqrediyent/LEMON.jpg,,,,,,,limon,limon,limon,https://www.etirsah.com/az/product/1952,Stokda Var
maqnoliya,Maqnoliya,https://www.etirsah.com/storage/photos/shares/inqrediyent/MAGNOLIA.jpg,,,,,,,maqnoliya,maqnoliya,maqnoliya,https://www.etirsah.com/az/product/1953,Stokda Yoxdur
mango,Mango,https://www.etirsah.com/storage/photos/shares/inqrediyent/mango.jpg,,,,,,,manqo,manqo,manqo,https://www.etirsah.com/az/product/1954,Stokda Var
mango-temptation,Mango Temptation,https://www.etirsah.com/storage/photos/shares/inqrediyent/MANGO-TEMPTATION.jpg,,,,,,,manqo,manqo,manqo,https://www.etirsah.com/az/product/1955,Stokda Var
magnum,Magnum,https://www.etirsah.com/storage/photos/shares/inqrediyent/MAGNUM.jpg,,,,,,,dondurma,dondurma,dondurma,https://www.etirsah.com/az/product/1956,Stokda Var
melon,Melon,https://www.etirsah.com/storage/photos/shares/inqrediyent/MELON.jpg,,,,,,,yemiş,yemiş,yemiş,https://www.etirsah.com/az/product/1957,Stokda Var
musc,Musc,https://www.etirsah.com/storage/photos/shares/inqrediyent/sayt-ucun-3.jpg,,,,,,,müşk,müşk,müşk,https://www.etirsah.com/az/product/1958,Stokda Var
musc-tahara-aphrodsac,Musc tahara aphrodısıac,https://www.etirsah.com/storage/photos/shares/inqrediyent/MUSC.jpg,,,,,,,müşk,müşk,müşk,https://www.etirsah.com/az/product/1959,Stokda Yoxdur
